Property code,Entity id,Device id,Temperature sensor id,Degreedays sensor id
3907,6bfa0daa-dbd7-41fc-b87a-3adc493eb0a7,fa571cb5-161b-42d9-9c30-6d67bc6bb1c9,3bbcf576-9191-4121-baac-67e1707e740a,b4854599-1c6e-46f9-95df-67950546f104
3917,67c6cfdc-71cd-493a-8837-ae8e83048059,d835ea50-cd72-4deb-a85a-7c1ba0ae88e4,a5626231-d0e8-494b-a6a4-c16a35916c63,fc3053c9-e0b3-4ae1-b816-b433833d0b24
3904,6960d11c-1c9a-4b82-a94d-2d567b2e5021,843b4cee-7bfb-467c-8ea2-f1265200116e,b8fb09c8-d85d-48b8-9777-b20ba35d47e5,b4e65a63-ae84-4b08-aaa4-8912388575b7
3916,56af8b8e-ba68-456f-8d00-ffa704cab679,416fa4f1-473f-49c4-b732-c8a07072c1c2,0cc90b01-1a37-417c-93b6-4ab7eb2c82ab,b3b96e19-1203-4f16-a70d-af99636fb828
3911,75adaec3-a900-4afa-9eef-d54deb8608ac,f53569dd-252c-40ce-915d-29c470d3890a,da8a6e1f-f8ca-4fa2-8ed6-9378ba107cb4,436625a3-7ce6-40bf-927c-77bbca4f5da8
3923,2aaa60a3-0e8d-4046-82da-ff0497509845,0e4a3933-a0b4-4e08-8d84-4711722d53f9,1db3848d-08a9-4d2d-a690-c056057b80c3,e6ee2759-380b-4d67-9a25-da916d3f7636
3915,c92abd4e-a414-4515-9d65-919d9989b5c0,b4325e44-3226-4fee-96f1-a0e6a6893da2,2991150a-7096-49b2-8223-7c389a000bcd,f7a9e411-2309-4ec3-a1d4-876bacb6fcca
99018,890952ff-bce2-4b1b-b30d-d41b9d79e1c7,aabb456f-a4ae-4e4a-975a-31e211d4b174,7c0b8dff-5d14-472a-9b98-56c78f744e73,230b1013-9a4c-4fa8-8ccf-6f91f4b9e571
3026,e46056e3-4621-4217-a170-c7d767d55621,7d68d585-0bab-42f0-a751-7c1ff7bc1d83,c62107c8-e2a0-40ee-ad07-3e2177b9cb90,f78685f2-c9c6-4ad5-b412-14eb2d2f4cf6
3039,450cc1f5-ecd0-4124-8bda-5a76738cd2b6,70b41ff4-4aba-4153-bb7f-301f5d8de901,a6fdd5e4-36c0-445b-b27f-b9e554973bcf,d68d6ec3-7480-44b9-81e9-a344985832a7
3062,eb7b7b8f-543b-461d-b9c7-37fac13b0a20,e95da0ff-a36b-4b34-9b0f-f305eec6cf5d,e438e596-4b3b-423f-b3ab-2673a90e27d0,ad56555f-ec1b-4d3e-b6ef-39242f76097c
3023,6946d01f-ff41-475b-aea5-ddcd45b090aa,9725eccf-a104-4578-9c10-298a840a1de2,a18c5a64-a5e3-439d-bacc-ed2cc4dd150f,d5c15471-01bf-4357-98f0-f00f3da7bd72
3037,50860387-cdfa-441b-89ff-8b0116f104ee,1b91babb-1589-4126-9191-78b1657a5ef9,daa16134-da4a-41e3-85aa-66d65a3db070,0b38ccf7-cfd8-43ea-9f70-c6acf6d801aa
3047,6af64891-140c-413e-b8be-5895d2b48ff0,6f727caa-80d6-4f46-9ba6-232139011e55,5a147478-195b-45f9-ad95-9d8212963323,b4d83e0a-181b-421b-a5cb-8faeabb61aaa
